"date","state","baseline","normalLower","normalUpper","treshold","deaths","zscore","deathsReported","deathsCovid","deathsNonCovid","dateByMonth"
"2021 week 7","United States","2646","2420","2872","3098","3421","6.8584070796460175",,"0","0","2/2021"
"2021 week 8","United States","2614","2384","2844","3074","3500","7.7043478260869565",,"0","0","2/2021"
"2021 week 9","United States","2737","2593","2881","3025","3542","11.180555555555555",,"0","0","2/2021"
"2021 week 10","United States","2741","2569","2913","3085","3494","8.755813953488373",,"0","0","3/2021"
"2021 week 11","United States","2687","2525","2849","3011","3637","11.728395061728396",,"0","0","3/2021"
"2021 week 12","United States","2640","2366","2914","3188","3607","7.0583941605839415",,"0","0","3/2021"
"2021 week 13","United States","2647","2463","2831","3015","3654","10.945652173913043",,"0","0","3/2021"
"2021 week 14","United States","2702","2412","2992","3282","3803","7.593103448275862",,"0","0","4/2021"
"2021 week 15","United States","2717","2563","2871","3025","3635","11.922077922077921",,"0","0","4/2021"
"2021 week 16","United States","2640","2420","2860","3080","3690","9.545454545454545",,"0","0","4/2021"
"2021 week 17","United States","2602","2350","2854","3106","3557","7.579365079365079",,"0","0","4/2021"
"2021 week 18","United States","2713","2521","2905","3097","3768","10.989583333333334",,"0","0","4/2021"
"2021 week 19","United States","2701","2533","2869","3037","3635","11.119047619047619",,"0","0","5/2021"
"2021 week 20","United States","2632","2410","2854","3076","3682","9.45945945945946",,"0","0","5/2021"
"2021 week 21","United States","2668","2450","2886","3104","3676","9.247706422018348",,"0","0","5/2021"
"2021 week 22","United States","2747","2471","3023","3299","3681","6.768115942028985",,"0","0","5/2021"
"2021 week 23","United States","2799","2589","3009","3219","3854","10.047619047619047",,"0","0","6/2021"
"2021 week 24","United States","2713","2527","2899","3085","3844","12.161290322580646",,"0","0","6/2021"
"2021 week 25","United States","2761","2515","3007","3253","3639","7.138211382113822",,"0","0","6/2021"
"2021 week 26","United States","2750","2544","2956","3162","3720","9.41747572815534",,"0","0","6/2021"
"2021 week 27","United States","2868","2670","3066","3264","3763","9.04040404040404",,"0","0","7/2021"
"2021 week 28","United States","2767","2535","2999","3231","3739","8.379310344827585",,"0","0","7/2021"
"2021 week 29","United States","2735","2487","2983","3231","3826","8.798387096774194",,"0","0","7/2021"
"2021 week 30","United States","2777","2575","2979","3181","4062","12.722772277227723",,"0","0","7/2021"
