"date","state","baseline","normalLower","normalUpper","treshold","deaths","zscore","deathsReported","deathsCovid","deathsNonCovid","dateByMonth"
"2021 week 38","United States","9897","9753","10041","10185","15731","81.02777777777777",,"0","0","9/2021"
"2021 week 39","United States","9884","9594","10174","10464","15482","38.60689655172414",,"0","0","9/2021"
"2021 week 40","United States","10174","9926","10422","10670","14701","36.50806451612903",,"0","0","10/2021"
"2021 week 41","United States","10045","9849","10241","10437","14174","42.13265306122449",,"0","0","10/2021"
"2021 week 42","United States","10070","9888","10252","10434","13616","38.967032967032964",,"0","0","10/2021"
"2021 week 43","United States","10037","9865","10209","10381","13263","37.51162790697674",,"0","0","10/2021"
"2021 week 44","United States","10084","9888","10280","10476","13239","32.19387755102041",,"0","0","10/2021"
"2021 week 45","United States","10299","10025","10573","10847","13144","20.766423357664234",,"0","0","11/2021"
"2021 week 46","United States","10313","10083","10543","10773","13063","23.91304347826087",,"0","0","11/2021"
"2021 week 47","United States","10261","10069","10453","10645","13185","30.458333333333332",,"0","0","11/2021"
"2021 week 48","United States","10378","10086","10670","10962","13891","24.061643835616437",,"0","0","11/2021"
"2021 week 49","United States","10582","10390","10774","10966","14342","39.166666666666664",,"0","0","12/2021"
"2021 week 50","United States","10638","10148","11128","11618","14219","14.616326530612245",,"0","0","12/2021"
"2021 week 51","United States","10682","10300","11064","11446","14184","18.335078534031414",,"0","0","12/2021"
"2021 week 52","United States","10779","10053","11505","12231","14653","10.672176308539944",,"0","0","12/2021"
"2022 week 1","United States","11440","10452","12428","13416","15536","8.291497975708502",,"0","0","1/2022"
"2022 week 2","United States","11346","10152","12540","13734","15971","7.747068676716918",,"0","0","1/2022"
"2022 week 3","United States","10952","10286","11618","12284","15612","13.993993993993994",,"0","0","1/2022"
"2022 week 4","United States","10828","10242","11414","12000","15309","15.293515358361775","15309","0","0","1/2022"
"2022 week 5","United States","10943","10671","11215","11487","14913","29.191176470588236","14550","0","0","1/2022"
"2022 week 6","United States","10975","10447","11503","12031","14208","12.246212121212121","13763","0","0","2/2022"
"2022 week 7","United States","10929","10757","11101","11273","12852","22.36046511627907","12362","0","0","2/2022"
"2022 week 8","United States","10762","10486","11038","11314","11976","8.797101449275363","11312","0","0","2/2022"
"2022 week 9","United States","10919","10717","11121","11323","11752","8.247524752475247","10734","0","0","2/2022"
"2022 week 10","United States","10937","10699","11175","11413","11990","8.84873949579832","10328","0","0","3/2022"
"2022 week 11","United States","10784","10488","11080","11376","11892","7.486486486486487","9234","0","0","3/2022"
"2022 week 12","United States","10560","10196","10924","11288","11993","7.873626373626373","7790","0","0","3/2022"
