"date","state","baseline","normalLower","normalUpper","treshold","deaths","zscore","deathsReported","deathsCovid","deathsNonCovid","dateByMonth"
"2020 week 1","United States","11392","10408","12376","13360","11223","-0.3434959349593496",,"0","0","1/2020"
"2020 week 2","United States","11298","10110","12486","13674","11128","-0.28619528619528617",,"0","0","1/2020"
"2020 week 3","United States","10906","10242","11570","12234","10957","0.1536144578313253",,"0","0","1/2020"
"2020 week 4","United States","10782","10200","11364","11946","10878","0.32989690721649484",,"0","0","1/2020"
"2020 week 5","United States","10896","10626","11166","11436","10832","-0.4740740740740741",,"0","0","1/2020"
"2020 week 6","United States","10929","10403","11455","11981","11084","0.5893536121673004",,"0","0","2/2020"
"2020 week 7","United States","10882","10712","11052","11222","10838","-0.5176470588235295",,"0","0","2/2020"
"2020 week 8","United States","10716","10442","10990","11264","10880","1.197080291970803",,"0","0","2/2020"
"2020 week 9","United States","10872","10670","11074","11276","11008","1.3465346534653466",,"0","0","2/2020"
"2020 week 10","United States","10890","10652","11128","11366","11062","1.4453781512605042",,"0","0","3/2020"
"2020 week 11","United States","10738","10444","11032","11326","10799","0.41496598639455784",,"0","0","3/2020"
"2020 week 12","United States","10515","10153","10877","11239","10909","2.1767955801104972",,"0","0","3/2020"
"2020 week 13","United States","10419","10143","10695","10971","11576","8.384057971014492",,"0","0","3/2020"
"2020 week 14","United States","10581","10407","10755","10929","13600","34.701149425287355",,"0","0","4/2020"
"2020 week 15","United States","10380","10102","10658","10936","14410","28.992805755395683",,"0","0","4/2020"
"2020 week 16","United States","10196","9976","10416","10636","13622","31.145454545454545",,"0","0","4/2020"
"2020 week 17","United States","10074","9856","10292","10510","13280","29.412844036697248",,"0","0","4/2020"
"2020 week 18","United States","10216","10080","10352","10488","12461","33.01470588235294",,"0","0","4/2020"
"2020 week 19","United States","10185","9999","10371","10557","12634","26.333333333333332",,"0","0","5/2020"
"2020 week 20","United States","9996","9546","10446","10896","12035","9.062222222222223",,"0","0","5/2020"
"2020 week 21","United States","9930","9740","10120","10310","11870","20.42105263157895",,"0","0","5/2020"
"2020 week 22","United States","10033","9861","10205","10377","11397","15.86046511627907",,"0","0","5/2020"
"2020 week 23","United States","10157","9819","10495","10833","11677","8.994082840236686",,"0","0","6/2020"
"2020 week 24","United States","10033","9829","10237","10441","11530","14.676470588235293",,"0","0","6/2020"
"2020 week 25","United States","10033","9807","10259","10485","11447","12.513274336283185",,"0","0","6/2020"
"2020 week 26","United States","10007","9849","10165","10323","11484","18.696202531645568",,"0","0","6/2020"
"2020 week 27","United States","10222","9880","10564","10906","12075","10.836257309941521",,"0","0","7/2020"
"2020 week 28","United States","10026","9764","10288","10550","12569","19.412213740458014",,"0","0","7/2020"
"2020 week 29","United States","9951","9759","10143","10335","12438","25.90625",,"0","0","7/2020"
"2020 week 30","United States","9898","9592","10204","10510","12595","17.627450980392158",,"0","0","7/2020"
"2020 week 31","United States","9973","9765","10181","10389","12644","25.682692307692307",,"0","0","7/2020"
"2020 week 32","United States","10018","9682","10354","10690","12711","16.029761904761905",,"0","0","8/2020"
"2020 week 33","United States","9842","9660","10024","10206","12394","28.043956043956044",,"0","0","8/2020"
"2020 week 34","United States","9821","9741","9901","9981","12068","56.175",,"0","0","8/2020"
"2020 week 35","United States","9900","9718","10082","10264","11812","21.01098901098901",,"0","0","8/2020"
"2020 week 36","United States","10038","9732","10344","10650","11734","11.084967320261438",,"0","0","9/2020"
"2020 week 37","United States","9928","9716","10140","10352","11691","16.632075471698112",,"0","0","9/2020"
"2020 week 38","United States","9885","9741","10029","10173","11392","20.930555555555557",,"0","0","9/2020"
"2020 week 39","United States","9872","9582","10162","10452","11429","10.73793103448276",,"0","0","9/2020"
"2020 week 40","United States","10162","9914","10410","10658","11292","9.112903225806452",,"0","0","9/2020"
"2020 week 41","United States","10033","9837","10229","10425","11790","17.928571428571427",,"0","0","10/2020"
"2020 week 42","United States","10058","9876","10240","10422","11306","13.714285714285714",,"0","0","10/2020"
"2020 week 43","United States","10025","9853","10197","10369","11614","18.476744186046513",,"0","0","10/2020"
"2020 week 44","United States","10072","9876","10268","10464","11640","16",,"0","0","10/2020"
"2020 week 45","United States","10286","10012","10560","10834","12241","14.27007299270073",,"0","0","11/2020"
"2020 week 46","United States","10301","10071","10531","10761","12500","19.121739130434783",,"0","0","11/2020"
"2020 week 47","United States","10249","10057","10441","10633","12668","25.197916666666668",,"0","0","11/2020"
"2020 week 48","United States","10365","10073","10657","10949","12792","16.623287671232877",,"0","0","11/2020"
"2020 week 49","United States","10569","10377","10761","10953","13578","31.34375",,"0","0","12/2020"
"2020 week 50","United States","10625","10135","11115","11605","14473","15.706122448979592",,"0","0","12/2020"
"2020 week 51","United States","10669","10287","11051","11433","14590","20.528795811518325",,"0","0","12/2020"
"2020 week 52","United States","10766","10042","11490","12214","15223","12.312154696132596",,"0","0","12/2020"
"2020 week 53","United States","10766","10042","11490","12214","15474","13.005524861878452",,"0","0","12/2020"
"2021 week 1","United States","11405","10421","12389","13373","15820","8.973577235772357",,"0","0","1/2021"
"2021 week 2","United States","11311","10121","12501","13691","15853","7.633613445378152",,"0","0","1/2021"
"2021 week 3","United States","10918","10254","11582","12246","15233","12.99698795180723",,"0","0","1/2021"
"2021 week 4","United States","10795","10211","11379","11963","14698","13.366438356164384",,"0","0","1/2021"
"2021 week 5","United States","10909","10639","11179","11449","14266","24.866666666666667",,"0","0","1/2021"
"2021 week 6","United States","10941","10415","11467","11993","13848","11.053231939163497",,"0","0","2/2021"
"2021 week 7","United States","10895","10725","11065","11235","13409","29.576470588235296",,"0","0","2/2021"
"2021 week 8","United States","10729","10455","11003","11277","12770","14.897810218978103",,"0","0","2/2021"
"2021 week 9","United States","10885","10683","11087","11289","12515","16.138613861386137",,"0","0","2/2021"
"2021 week 10","United States","10903","10665","11141","11379","12018","9.369747899159664",,"0","0","3/2021"
"2021 week 11","United States","10751","10457","11045","11339","11806","7.1768707482993195",,"0","0","3/2021"
"2021 week 12","United States","10527","10165","10889","11251","12080","8.58011049723757",,"0","0","3/2021"
"2021 week 13","United States","10431","10155","10707","10983","11454","7.413043478260869",,"0","0","3/2021"
"2021 week 14","United States","10593","10419","10767","10941","12231","18.82758620689655",,"0","0","4/2021"
"2021 week 15","United States","10393","10115","10671","10949","12084","12.16546762589928",,"0","0","4/2021"
"2021 week 16","United States","10208","9988","10428","10648","12186","17.98181818181818",,"0","0","4/2021"
"2021 week 17","United States","10086","9868","10304","10522","12064","18.146788990825687",,"0","0","4/2021"
"2021 week 18","United States","10228","10092","10364","10500","12018","26.323529411764707",,"0","0","4/2021"
"2021 week 19","United States","10197","10011","10383","10569","11922","18.548387096774192",,"0","0","5/2021"
"2021 week 20","United States","10008","9556","10460","10912","11716","7.557522123893805",,"0","0","5/2021"
"2021 week 21","United States","9942","9752","10132","10322","11478","16.16842105263158",,"0","0","5/2021"
"2021 week 22","United States","10045","9873","10217","10389","11628","18.406976744186046",,"0","0","5/2021"
"2021 week 23","United States","10169","9829","10509","10849","11554","8.147058823529411",,"0","0","6/2021"
"2021 week 24","United States","10044","9840","10248","10452","11531","14.57843137254902",,"0","0","6/2021"
"2021 week 25","United States","10045","9819","10271","10497","11171","9.964601769911505",,"0","0","6/2021"
"2021 week 26","United States","10019","9861","10177","10335","11543","19.29113924050633",,"0","0","6/2021"
"2021 week 27","United States","10234","9892","10576","10918","11517","7.502923976608187",,"0","0","7/2021"
"2021 week 28","United States","10038","9776","10300","10562","11373","10.19083969465649",,"0","0","7/2021"
"2021 week 29","United States","9963","9771","10155","10347","11493","15.9375",,"0","0","7/2021"
"2021 week 30","United States","9909","9603","10215","10521","12259","15.359477124183007",,"0","0","7/2021"
"2021 week 31","United States","9984","9776","10192","10400","13300","31.884615384615383",,"0","0","7/2021"
"2021 week 32","United States","10030","9694","10366","10702","14196","24.797619047619047",,"0","0","8/2021"
"2021 week 33","United States","9853","9669","10037","10221","15143","57.5",,"0","0","8/2021"
"2021 week 34","United States","9833","9753","9913","9993","15946","152.825",,"0","0","8/2021"
"2021 week 35","United States","9911","9729","10093","10275","16479","72.17582417582418",,"0","0","8/2021"
"2021 week 36","United States","10050","9744","10356","10662","16599","42.80392156862745",,"0","0","9/2021"
"2021 week 37","United States","9940","9728","10152","10364","16205","59.10377358490566",,"0","0","9/2021"
